timestamp,id,nombre,libres,ocupados,capacidad_total,pct_ocupacion,hora,minuto,dia_semana,es_fin_semana,franja_horaria,estado,tendencia
2026-06-17 11:26:28.347228,AL,Alcazaba,77.0,301.0,378.0,0.7963,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,MA,Salitre,0.0,435.0,435.0,1.0,11,26,2,0,MAÑANA,LLENO,ESTABLE
2026-06-17 11:26:28.347228,CA,Camas,11.0,339.0,350.0,0.9686,11,26,2,0,MAÑANA,LLENO,ESTABLE
2026-06-17 11:26:28.347228,PA,El Palo,51.0,76.0,127.0,0.5984,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,AN,Av. de Andalucía,212.0,401.0,613.0,0.6542,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,TE,Tejón y Rodríguez,49.0,138.0,187.0,0.738,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,CE,Cervantes,96.0,313.0,409.0,0.7653,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,CY,Carlos Haya,144.0,295.0,439.0,0.672,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,SJ,San Juan de la Cruz,239.0,385.0,624.0,0.617,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,PB,Pío Baroja,129.0,132.0,261.0,0.5057,11,26,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:26:28.347228,SA,,,,,,11,26,2,0,MAÑANA,LIBRE,ESTABLE
2026-06-17 11:27:28.273177,AL,Alcazaba,77.0,301.0,378.0,0.7963,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,MA,Salitre,0.0,435.0,435.0,1.0,11,27,2,0,MAÑANA,LLENO,ESTABLE
2026-06-17 11:27:28.273177,CA,Camas,11.0,339.0,350.0,0.9686,11,27,2,0,MAÑANA,LLENO,ESTABLE
2026-06-17 11:27:28.273177,PA,El Palo,51.0,76.0,127.0,0.5984,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,AN,Av. de Andalucía,212.0,401.0,613.0,0.6542,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,TE,Tejón y Rodríguez,49.0,138.0,187.0,0.738,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,CE,Cervantes,96.0,313.0,409.0,0.7653,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,CY,Carlos Haya,144.0,295.0,439.0,0.672,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,SJ,San Juan de la Cruz,239.0,385.0,624.0,0.617,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,PB,Pío Baroja,129.0,132.0,261.0,0.5057,11,27,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:27:28.273177,SA,,,,,,11,27,2,0,MAÑANA,LIBRE,ESTABLE
2026-06-17 11:28:28.273424,AL,Alcazaba,77.0,301.0,378.0,0.7963,11,28,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:28:28.273424,MA,Salitre,0.0,435.0,435.0,1.0,11,28,2,0,MAÑANA,LLENO,ESTABLE
2026-06-17 11:28:28.273424,CA,Camas,11.0,339.0,350.0,0.9686,11,28,2,0,MAÑANA,LLENO,ESTABLE
2026-06-17 11:28:28.273424,PA,El Palo,51.0,76.0,127.0,0.5984,11,28,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:28:28.273424,AN,Av. de Andalucía,212.0,401.0,613.0,0.6542,11,28,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:28:28.273424,TE,Tejón y Rodríguez,49.0,138.0,187.0,0.738,11,28,2,0,MAÑANA,DISPONIBLE,ESTABLE
2026-06-17 11:28:28.273424,CE,Cervantes,96.0,313.0,409.0,0.7653,11,28,2,0,MAÑANA,DISPONIBLE,ESTABLE
